timestamp,video_id,confidence,threshold,is_abnormal
2026-02-10T20:12:35.441224,cam1,0.370111,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201231_cam1_0.370.mp4,alert_start
2026-02-10T20:12:41.035119,cam1,0.366349,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201236_cam1_0.366.mp4,alert_start
2026-02-10T20:12:46.751119,cam1,0.368223,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201242_cam1_0.368.mp4,alert_start
2026-02-10T20:12:52.417209,cam1,0.367244,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201248_cam1_0.367.mp4,alert_start
2026-02-10T20:12:58.059871,cam1,0.367683,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201254_cam1_0.368.mp4,alert_start
2026-02-10T20:13:03.698042,cam1,0.369544,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201259_cam1_0.370.mp4,alert_start
2026-02-10T20:13:09.418524,cam1,0.374242,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_201305_cam1_0.374.mp4,alert_start
2026-02-10T20:13:15.087017,cam1,0.047218,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:13:20.712657,cam1,0.011287,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:13:26.402608,cam1,0.016613,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:13:32.059281,cam1,0.039261,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
